-----------------------------------------------------------------------------
| stageName    | eventName | playerName                  | rank | time      |
=============================================================================
| "Round 1"    | "Heat 1"  | "Ferguson Cheruiyot Rotich" | 1    | "1:43.75" |
| "Round 1"    | "Heat 1"  | "Peter Bol"                 | 2    | "1:44.13" |
| "Round 1"    | "Heat 1"  | "Elliot Giles"              | 3    | "1:44.49" |
| "Round 1"    | "Heat 1"  | "Abdelati El Guesse"        | 4    | "1:44.84" |
| "Round 1"    | "Heat 1"  | "Isaiah Jewett"             | 5    | "1:45.07" |
| "Round 1"    | "Heat 1"  | "Tony van Diepen"           | 6    | "1:46.03" |
| "Round 1"    | "Heat 1"  | "Pol Moya"                  | 7    | "1:47.44" |
| "Round 1"    | "Heat 1"  | "Musa Hajdari"              | 8    | "1:48.96" |
| "Round 1"    | "Heat 2"  | "Marco Arop"                | 1    | "1:45.26" |
| "Round 1"    | "Heat 2"  | "Amel Tuka"                 | 2    | "1:45.48" |
| "Round 1"    | "Heat 2"  | "Gabriel Tual"              | 3    | "1:45.63" |
| "Round 1"    | "Heat 2"  | "Pablo Sanchez-Valladares"  | 4    | "1:46.06" |
| "Round 1"    | "Heat 2"  | "Andreas Kramer"            | 5    | "1:46.44" |
| "Round 1"    | "Heat 2"  | "Oliver Dustin"             | 6    | "1:46.94" |
| "Round 1"    | "Heat 2"  | "Alex Beddoes"              | 7    | "1:47.26" |
| "Round 1"    | "Heat 2"  | "Francky Mbotto"            | 8    | "1:48.26" |
| "Round 1"    | "Heat 3"  | "Clayton Murphy"            | 1    | "1:45.53" |
| "Round 1"    | "Heat 3"  | "Daniel Rowden"             | 2    | "1:45.73" |
| "Round 1"    | "Heat 3"  | "Abdessalem Ayouni"         | 3    | "1:45.73" |
| "Round 1"    | "Heat 3"  | "Charlie Hunter"            | 4    | "1:45.91" |
| "Round 1"    | "Heat 3"  | "Saul Ordonez"              | 5    | "1:45.98" |
| "Round 1"    | "Heat 3"  | "Brandon McBride"           | 6    | "1:46.32" |
| "Round 1"    | "Heat 3"  | "Melese Nberet"             | 7    | "1:47.80" |
| "Round 1"    | "Heat 3"  | "James Nyang Chiengjiek"    | 8    | "2:02.04" |
| "Round 1"    | "Heat 4"  | "Nijel Amos"                | 1    | "1:45.04" |
| "Round 1"    | "Heat 4"  | "Michael Saruni"            | 2    | "1:45.21" |
| "Round 1"    | "Heat 4"  | "Adrian Ben"                | 3    | "1:45.30" |
| "Round 1"    | "Heat 4"  | "Jeffrey Riseley"           | 4    | "1:45.41" |
| "Round 1"    | "Heat 4"  | "Oussama Nabil"             | 5    | "1:45.64" |
| "Round 1"    | "Heat 4"  | "Pierre-Ambroise Bosse"     | 6    | "1:45.97" |
| "Round 1"    | "Heat 4"  | "Ryan Sanchez"              | 7    | "1:47.07" |
| "Round 1"    | "Heat 4"  | "Thiago Andre"              | 8    | "1:47.75" |
| "Round 1"    | "Heat 5"  | "Jesus Tonatiu Lopez"       | 1    | "1:46.14" |
| "Round 1"    | "Heat 5"  | "Eliott Crestan"            | 2    | "1:46.19" |
| "Round 1"    | "Heat 5"  | "Patryk Dobek"              | 3    | "1:46.59" |
| "Round 1"    | "Heat 5"  | "Mark English"              | 4    | "1:46.75" |
| "Round 1"    | "Heat 5"  | "Benjamin Robert"           | 5    | "1:47.12" |
| "Round 1"    | "Heat 5"  | "Eric Nzikwinkunda"         | 6    | "1:47.97" |
| "Round 1"    | "Heat 5"  | "Andres Arroyo"             | 7    | "1:53.09" |
| "Round 1"    | "Heat 5"  | "Dennick Luke"              | 8    | "1:54.30" |
| "Round 1"    | "Heat 6"  | "Emmanuel Kipkurui Korir"   | 1    | "1:45.33" |
| "Round 1"    | "Heat 6"  | "Mateusz Borkowski"         | 2    | "1:45.34" |
| "Round 1"    | "Heat 6"  | "Bryce Hoppel"              | 3    | "1:45.64" |
| "Round 1"    | "Heat 6"  | "Mostafa Smaili"            | 4    | "1:46.05" |
| "Round 1"    | "Heat 6"  | "Yassine Hethat"            | 5    | "1:46.20" |
| "Round 1"    | "Heat 6"  | "Abubaker Haydar Abdalla"   | 6    | "1:47.45" |
| "Round 1"    | "Heat 6"  | "Wesley Vazquez"            | 7    | "1:49.06" |
| "Semi-Final" | "Heat 1"  | "Patryk Dobek"              | 1    | "1:44.60" |
| "Semi-Final" | "Heat 1"  | "Emmanuel Kipkurui Korir"   | 2    | "1:44.74" |
| "Semi-Final" | "Heat 1"  | "Jesus Tonatiu Lopez"       | 3    | "1:44.77" |
| "Semi-Final" | "Heat 1"  | "Eliott Crestan"            | 4    | "1:44.84" |
| "Semi-Final" | "Heat 1"  | "Bryce Hoppel"              | 5    | "1:44.91" |
| "Semi-Final" | "Heat 1"  | "Abdessalem Ayouni"         | 6    | "1:44.99" |
| "Semi-Final" | "Heat 1"  | "Charlie Hunter"            | 7    | "1:46.73" |
| "Semi-Final" | "Heat 1"  | "Abdelati El Guesse"        | 8    | "1:46.85" |
| "Semi-Final" | "Heat 2"  | "Peter Bol"                 | 1    | "1:44.11" |
| "Semi-Final" | "Heat 2"  | "Clayton Murphy"            | 2    | "1:44.18" |
| "Semi-Final" | "Heat 2"  | "Gabriel Tual"              | 3    | "1:44.28" |
| "Semi-Final" | "Heat 2"  | "Adrian Ben"                | 4    | "1:44.30" |
| "Semi-Final" | "Heat 2"  | "Daniel Rowden"             | 5    | "1:44.35" |
