---------------------------------------------------------------------------------------------------------------------------
| eventName                                                  | playerName                         | rank | time           |
===========================================================================================================================
| "Bologna (ITT) - 8km"                                      | "Primoz Roglic"                    | 1    | "00:12:54.000" |
| "Bologna (ITT) - 8km"                                      | "Simon Yates"                      | 2    | "00:13:13.000" |
| "Bologna (ITT) - 8km"                                      | "Vincenzo Nibali"                  | 3    | "00:13:17.000" |
| "Bologna (ITT) - 8km"                                      | "Miguel Angel Lopez"               | 4    | "00:13:22.000" |
| "Bologna (ITT) - 8km"                                      | "Tom Dumoulin"                     | 5    | "00:13:22.000" |
| "Bologna (ITT) - 8km"                                      | "Rafal Majka"                      | 6    | "00:13:27.000" |
| "Bologna (ITT) - 8km"                                      | "Tao Geoghegan Hart"               | 7    | "00:13:29.000" |
| "Bologna (ITT) - 8km"                                      | "Laurens De Plus"                  | 8    | "00:13:29.000" |
| "Bologna (ITT) - 8km"                                      | "Bauke Mollema"                    | 9    | "00:13:33.000" |
| "Bologna (ITT) - 8km"                                      | "Damiano Caruso"                   | 10   | "00:13:34.000" |
| "Bologna (ITT) - 8km"                                      | "Pello Bilbao"                     | 11   | "00:13:36.000" |
| "Bologna (ITT) - 8km"                                      | "Victor De La Parte"               | 12   | "00:13:39.000" |
| "Bologna (ITT) - 8km"                                      | "Bob Jungels"                      | 13   | "00:13:40.000" |
| "Bologna (ITT) - 8km"                                      | "Richard Carapaz"                  | 14   | "00:13:41.000" |
| "Bologna (ITT) - 8km"                                      | "Tanel Kangert"                    | 15   | "00:13:41.000" |
| "Bologna (ITT) - 8km"                                      | "Hugh Carthy"                      | 16   | "00:13:41.000" |
| "Bologna (ITT) - 8km"                                      | "Diego Ulissi"                     | 17   | "00:13:44.000" |
| "Bologna (ITT) - 8km"                                      | "Davide Formolo"                   | 18   | "00:13:44.000" |
| "Bologna (ITT) - 8km"                                      | "Domenico Pozzovivo"               | 19   | "00:13:47.000" |
| "Bologna (ITT) - 8km"                                      | "Victor Campenaerts"               | 20   | "00:13:47.000" |
| "Bologna - Fucecchio - 205km"                              | "Pascal Ackermann"                 | 1    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Elia Viviani"                     | 2    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Caleb Ewan"                       | 3    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Fernando Gaviria"                 | 4    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Arnaud Demare"                    | 5    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Davide Cimolai"                   | 6    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Viacheslav Kuznetsov"             | 7    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Jasper De Buyst"                  | 8    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Kristian Sbaragli"                | 9    | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Rudiger Selig"                    | 10   | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Ryan Gibbons"                     | 11   | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Marco Canola"                     | 12   | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Francesco Gavazzi"                | 13   | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Simone Consonni"                  | 14   | "04:44:43.000" |
| "Bologna - Fucecchio - 205km"                              | "Enrico Battaglin"                 | 15   | "04:44:48.000" |
| "Bologna - Fucecchio - 205km"                              | "Tosh Van Der Sande"               | 16   | "04:44:48.000" |
| "Bologna - Fucecchio - 205km"                              | "Fabio Sabatini"                   | 17   | "04:44:48.000" |
| "Bologna - Fucecchio - 205km"                              | "Davide Formolo"                   | 18   | "04:44:48.000" |
| "Bologna - Fucecchio - 205km"                              | "Rafal Majka"                      | 19   | "04:44:48.000" |
| "Bologna - Fucecchio - 205km"                              | "Tom Dumoulin"                     | 20   | "04:44:48.000" |
| "Vinci - Orbetello  - 220km"                               | "Fernando Gaviria"                 | 1    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Arnaud Demare"                    | 2    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Pascal Ackermann"                 | 3    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Matteo Moschetti"                 | 4    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Giacomo Nizzolo"                  | 5    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Jakub Mareczko"                   | 6    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Davide Cimolai"                   | 7    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Manuel Belletti"                  | 8    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Christian Knees"                  | 9    | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Sacha Modolo"                     | 10   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Simon Yates"                      | 11   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Miguel Angel Lopez"               | 12   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Giovanni Lonardi"                 | 13   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Vincenzo Nibali"                  | 14   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Caleb Ewan"                       | 15   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Jose Rojas"                       | 16   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Bauke Mollema"                    | 17   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Andrey Zeits"                     | 18   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Rafal Majka"                      | 19   | "05:23:19.000" |
| "Vinci - Orbetello  - 220km"                               | "Mikel Landa Meana"                | 20   | "05:23:19.000" |
| "Orbetello - Frascati - 235km"                             | "Richard Carapaz"                  | 1    | "05:58:17.000" |
| "Orbetello - Frascati - 235km"                             | "Caleb Ewan"                       | 2    | "05:58:17.000" |
| "Orbetello - Frascati - 235km"                             | "Diego Ulissi"                     | 3    | "05:58:17.000" |
| "Orbetello - Frascati - 235km"                             | "Pascal Ackermann"                 | 4    | "05:58:19.000" |
| "Orbetello - Frascati - 235km"                             | "Florian Senechal"                 | 5    | "05:58:19.000" |
| "Orbetello - Frascati - 235km"                             | "Primoz Roglic"                    | 6    | "05:58:19.000" |
| "Orbetello - Frascati - 235km"                             | "Valerio Conti"                    | 7    | "05:58:31.000" |
| "Orbetello - Frascati - 235km"                             | "Miguel Angel Lopez"               | 8    | "05:58:35.000" |
