------------------------------------------------------------------------------------------------------
| playerName                                     | time | teamName               | playerperfrole    |
======================================================================================================
| "Player <http://example.com/Athlete/p.82403>"  | "12" | "Crystal Palace"       | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.82403>"  | "12" | "Crystal Palace"       | spsocrole:scorer  |
| "Wilfried Zaha"                                | "12" | "Crystal Palace"       | spsocrole:scorer  |
| "Wilfried Zaha"                                | "12" | "Crystal Palace"       | spsocrole:scorer  |
| "Matheus Pereira"                              | "23" | "West Bromwich Albion" | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.210407>" | "23" | "West Bromwich Albion" | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.149484>" | "47" | "Aston Villa"          | spsocrole:scorer  |
| "Tyrone Mings"                                 | "47" | "Aston Villa"          | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.166477>" | "50" | "Leicester City"       | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.166477>" | "50" | "Leicester City"       | spsocrole:scorer  |
| "Timothy Castagne"                             | "50" | "Leicester City"       | spsocrole:scorer  |
| "Timothy Castagne"                             | "50" | "Leicester City"       | spsocrole:scorer  |
| "Kelechi Iheanacho"                            | "80" | "Leicester City"       | spsocrole:scorer  |
| "Kelechi Iheanacho"                            | "80" | "Leicester City"       | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.173515>" | "80" | "Leicester City"       | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.173515>" | "80" | "Leicester City"       | spsocrole:scorer  |
| "Gnegneri Yaya Touré"                          | "81" | "Manchester City"      | spsocrole:shooter |
| "Gnegneri Yaya Touré"                          | "81" | "Manchester City"      | spsocrole:shooter |
| "Player <http://example.com/Athlete/PO14664>"  | "81" | "Manchester City"      | spsocrole:shooter |
| "Player <http://example.com/Athlete/PO14664>"  | "81" | "Manchester City"      | spsocrole:shooter |
| "Player <http://example.com/Athlete/PO37572>"  | "87" | "Manchester City"      | spsocrole:shooter |
| "Player <http://example.com/Athlete/PO37572>"  | "87" | "Argentina"            | spsocrole:shooter |
| "Player <http://example.com/Athlete/PO37572>"  | "87" | "Manchester City"      | spsocrole:shooter |
| "Sergio Agüero"                                | "87" | "Manchester City"      | spsocrole:shooter |
| "Sergio Agüero"                                | "87" | "Argentina"            | spsocrole:shooter |
| "Sergio Agüero"                                | "87" | "Manchester City"      | spsocrole:shooter |
| "Anwar El Ghazi"                               | "9"  | "Aston Villa"          | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.193488>" | "9"  | "Aston Villa"          | spsocrole:scorer  |
| "Keinan Davis"                                 | "92" | "Aston Villa"          | spsocrole:scorer  |
| "Player <http://example.com/Athlete/p.221239>" | "92" | "Aston Villa"          | spsocrole:scorer  |
------------------------------------------------------------------------------------------------------
