----------------------------------------------------------
| playerName                                     | goals |
==========================================================
| "Player <http://example.com/Athlete/p.82403>"  | "1"   |
| "Wilfried Zaha"                                | "1"   |
| "Player <http://example.com/Athlete/p.173515>" | "1"   |
| "Kelechi Iheanacho"                            | "1"   |
| "Timothy Castagne"                             | "1"   |
| "Player <http://example.com/Athlete/p.166477>" | "1"   |
| "Sergio Agüero"                                | "1"   |
| "Player <http://example.com/Athlete/PO37572>"  | "1"   |
| "Player <http://example.com/Athlete/PO14664>"  | "1"   |
| "Gnegneri Yaya Touré"                          | "1"   |
| "Player <http://example.com/Athlete/p.210407>" | "1"   |
| "Matheus Pereira"                              | "1"   |
| "Player <http://example.com/Athlete/p.193488>" | "1"   |
| "Anwar El Ghazi"                               | "1"   |
| "Player <http://example.com/Athlete/p.221239>" | "1"   |
| "Keinan Davis"                                 | "1"   |
| "Mohamed Salah"                                | "1"   |
| "Player <http://example.com/Athlete/p.118748>" | "1"   |
| "Player <http://example.com/Athlete/p.200089>" | "1"   |
| "Joseph Willock"                               | "1"   |
----------------------------------------------------------
