---------------------------------------
| playerName          | minutesPlayed |
=======================================
| "Aaron Wan-Bissaka" | "90"          |
| "Bruno Fernandes"   | "90"          |
| "Daniel James"      | "76"          |
| "Dean Henderson"    | "90"          |
| "Diego Llorente"    | "90"          |
| "Donny van de Beek" | "1"           |
| "Edinson Cavani"    | "4"           |
| "Ezgjan Alioski"    | "90"          |
| "Fred"              | "89"          |
| "Harry Maguire"     | "90"          |
| "Hélder Costa"      | "72"          |
| "Ian Poveda-Ocampo" | "22"          |
| "Illan Meslier"     | "90"          |
| "Jack Harrison"     | "68"          |
| "Kalvin Phillips"   | "90"          |
| "Luke Ayling"       | "90"          |
| "Luke Shaw"         | "90"          |
| "Marcus Rashford"   | "86"          |
| "Mason Greenwood"   | "90"          |
| "Mateusz Klich"     | "18"          |
| "Pascal Struijk"    | "90"          |
| "Patrick Bamford"   | "90"          |
| "Paul Pogba"        | "14"          |
| "Robin Koch"        | "13"          |
| "Scott McTominay"   | "90"          |
| "Stuart Dallas"     | "90"          |
| "Tyler Roberts"     | "77"          |
| "Victor Lindelöf"   | "90"          |
---------------------------------------
