----------------------------------------------------------------------------------------------------------
| teamName               | playerName               | playerStatus                                       |
==========================================================================================================
| "Aston Villa"          | "Ahmed El Mohamady"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Anwar El Ghazi"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Bertrand Traoré"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Douglas Luiz"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Emiliano Martínez"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Ezri Konsa Ngoyo"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "John McGinn"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Matt Targett"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Ollie Watkins"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Ross Barkley"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Aston Villa"          | "Tyrone Mings"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Cheikhou Kouyaté"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Cheikhou Kouyaté"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Christian Benteke"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Christian Benteke"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Eberechi Eze"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Eberechi Eze"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Jairo Riedewald"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Jairo Riedewald"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Joel Ward"              | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Jordan Ayew"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Jordan Ayew"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Luka Milivojevic"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Luka Milivojevic"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Patrick van Aanholt"    | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Scott Dann"             | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Scott Dann"             | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Vicente Guaita"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Wilfried Zaha"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Crystal Palace"       | "Wilfried Zaha"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Diego Llorente"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Ezgjan Alioski"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Hélder Costa"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Illan Meslier"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Jack Harrison"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Kalvin Phillips"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Luke Ayling"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Pascal Struijk"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Patrick Bamford"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Stuart Dallas"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leeds United"         | "Tyler Roberts"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "James Maddison"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "James Maddison"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Jamie Vardy"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Jamie Vardy"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Jonny Evans"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Jonny Evans"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Kasper Schmeichel"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Kelechi Iheanacho"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Kelechi Iheanacho"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Luke Thomas"            | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Timothy Castagne"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Timothy Castagne"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Wesley Fofana"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Wilfred Ndidi"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Wilfred Ndidi"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Youri Tielemans"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Youri Tielemans"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Leicester City"       | "Çaglar Söyüncü"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Alisson"                | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Andrew Robertson"       | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Diogo Jota"             | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Fabinho"                | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Georginio Wijnaldum"    | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Mohamed Salah"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Ozan Kabak"             | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Roberto Firmino"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Sadio Mané"             | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Thiago"                 | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Liverpool"            | "Trent Alexander-Arnold" | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Aaron Wan-Bissaka"      | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Bruno Fernandes"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Daniel James"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Dean Henderson"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Fred"                   | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Harry Maguire"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Luke Shaw"              | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Marcus Rashford"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Mason Greenwood"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Scott McTominay"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Manchester United"    | "Victor Lindelöf"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Allan Saint-Maximin"    | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Ciaran Clark"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Federico Fernández"     | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Jacob Murphy"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Joelinton"              | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Jonjo Shelvey"          | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Martin Dubravka"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Matt Ritchie"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Miguel Almirón"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Paul Dummett"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "Newcastle United"     | "Sean Longstaff"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Ainsley Maitland-Niles" | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Callum Robinson"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Conor Gallagher"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Conor Townsend"         | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Darnell Furlong"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Kyle Bartley"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Matheus Pereira"        | <http://cv.iptc.org/newscodes/spperstatus/starter> |
| "West Bromwich Albion" | "Mbaye Diagne"           | <http://cv.iptc.org/newscodes/spperstatus/starter> |
