----------------------------------------------------------------------------------
| teamName       | playerName       | stat                           | statValue |
==================================================================================
| "Leeds United" | "Pascal Struijk" | spstat:eventsStarted           | "1"       |
| "Leeds United" | "Pascal Struijk" | spstat:timePlayedTotal         | "90"      |
| "Leeds United" | "Pascal Struijk" | spsocstat:aerialsWon           | "1"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:assistsTotal         | "0"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:cautionsTotal        | "0"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:clearancesSuccessful | "4"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:ejectionsTotal       | "0"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:foulsCommited        | "2"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:foulsSuffered        | "1"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:goalsAgainstTotal    | "0"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:goalsTotal           | "0"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:interceptions        | "3"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:passesComplete       | "33"      |
| "Leeds United" | "Pascal Struijk" | spsocstat:passesIncomplete     | "7"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:passesTotal          | "40"      |
| "Leeds United" | "Pascal Struijk" | spsocstat:shutouts             | "1"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:tacklesLost          | "2"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:tacklesTotal         | "4"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:tacklesWon           | "2"       |
| "Leeds United" | "Pascal Struijk" | spsocstat:touches              | "55"      |
----------------------------------------------------------------------------------
