--------------------------------------------------------------------------------------------
| teamName               | playerName                                     | foulsCommitted |
============================================================================================
| "Aston Villa"          | "Ahmed El Mohamady"                            | "1"            |
| "Aston Villa"          | "Aly Cissokho"                                 | "1"            |
| "Aston Villa"          | "Charles N'Zogbia"                             | "1"            |
| "Aston Villa"          | "Douglas Luiz"                                 | "3"            |
| "Aston Villa"          | "Ezri Konsa Ngoyo"                             | "1"            |
| "Aston Villa"          | "Jacob Ramsey"                                 | "1"            |
| "Aston Villa"          | "John McGinn"                                  | "2"            |
| "Aston Villa"          | "Matt Targett"                                 | "1"            |
| "Aston Villa"          | "Nathan Baker"                                 | "1"            |
| "Aston Villa"          | "Ollie Watkins"                                | "2"            |
| "Aston Villa"          | "Player <http://example.com/Athlete/p.122806>" | "2"            |
| "Aston Villa"          | "Player <http://example.com/Athlete/p.149484>" | "2"            |
| "Aston Villa"          | "Player <http://example.com/Athlete/p.178301>" | "2"            |
| "Aston Villa"          | "Player <http://example.com/Athlete/p.199798>" | "1"            |
| "Aston Villa"          | "Player <http://example.com/Athlete/p.88894>"  | "1"            |
| "Aston Villa"          | "Ross Barkley"                                 | "1"            |
| "Aston Villa"          | "Tom Cleverley"                                | "1"            |
| "Aston Villa"          | "Tyrone Mings"                                 | "2"            |
| "Brazil"               | "Fernando Luiz Rosa"                           | "1"            |
| "Brazil"               | "Player <http://example.com/Athlete/PO27789>"  | "1"            |
| "Crystal Palace"       | "Cheikhou Kouyaté"                             | "1"            |
| "Crystal Palace"       | "Cheikhou Kouyaté"                             | "1"            |
| "Crystal Palace"       | "Christian Benteke"                            | "1"            |
| "Crystal Palace"       | "Christian Benteke"                            | "1"            |
| "Crystal Palace"       | "Jairo Riedewald"                              | "2"            |
| "Crystal Palace"       | "Jairo Riedewald"                              | "2"            |
| "Crystal Palace"       | "Joel Ward"                                    | "3"            |
| "Crystal Palace"       | "Jordan Ayew"                                  | "4"            |
| "Crystal Palace"       | "Jordan Ayew"                                  | "4"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.173954>" | "2"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.173954>" | "2"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.54861>"  | "1"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.54861>"  | "1"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.55037>"  | "1"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.55037>"  | "1"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.80146>"  | "4"            |
| "Crystal Palace"       | "Player <http://example.com/Athlete/p.80146>"  | "4"            |
