------------------------------------------------------------------------------------------------------
| teamName         | playerName            | eventPosition                                           |
======================================================================================================
| "Crystal Palace" | "Cheikhou Kouyaté"    | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Crystal Palace" | "Christian Benteke"   | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Crystal Palace" | "Eberechi Eze"        | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Crystal Palace" | "Jairo Riedewald"     | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Crystal Palace" | "Joel Ward"           | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Crystal Palace" | "Jordan Ayew"         | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Crystal Palace" | "Luka Milivojevic"    | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Crystal Palace" | "Patrick van Aanholt" | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Crystal Palace" | "Scott Dann"          | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Crystal Palace" | "Vicente Guaita"      | <http://cv.iptc.org/newscodes/spsocposition/goalkeeper> |
| "Crystal Palace" | "Wilfried Zaha"       | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Leicester City" | "James Maddison"      | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Leicester City" | "Jamie Vardy"         | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Leicester City" | "Jonny Evans"         | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Leicester City" | "Kasper Schmeichel"   | <http://cv.iptc.org/newscodes/spsocposition/goalkeeper> |
| "Leicester City" | "Kelechi Iheanacho"   | <http://cv.iptc.org/newscodes/spsocposition/forward>    |
| "Leicester City" | "Luke Thomas"         | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Leicester City" | "Timothy Castagne"    | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Leicester City" | "Wesley Fofana"       | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
| "Leicester City" | "Wilfred Ndidi"       | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Leicester City" | "Youri Tielemans"     | <http://cv.iptc.org/newscodes/spsocposition/midfielder> |
| "Leicester City" | "Çaglar Söyüncü"      | <http://cv.iptc.org/newscodes/spsocposition/defender>   |
------------------------------------------------------------------------------------------------------
