--------------------------------------------------------------------------------------------------------------------------
| teamName                   | stat                                 | statValue                                          |
==========================================================================================================================
| "Leeds United"             | spstat:score-opposing                | "1"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/loss> |
| "Leeds United"             | spstat:score                         | "0"                                                |
| "Leeds United"             | spstat:score-opposing                | "1"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/loss> |
| "Leeds United"             | spstat:score                         | "0"                                                |
| "Leeds United"             | spsocstat:shots-blocked              | "2"                                                |
| "Leeds United"             | spsocstat:shots-on-goal-total        | "3"                                                |
| "Leeds United"             | spsocstat:tackles-won-percentage     | "0.567"                                            |
| "Leeds United"             | spstat:score-opposing                | "0"                                                |
| "Leeds United"             | spsocstat:tackles-won                | "17"                                               |
| "Leeds United"             | spsocstat:passes-total               | "385"                                              |
| "Leeds United"             | spsocstat:offsides                   | "2"                                                |
| "Leeds United"             | spsocstat:line-formation             | "4141"                                             |
| "Leeds United"             | spsocstat:clearances-successful      | "17"                                               |
| "Leeds United"             | spsocstat:shutouts                   | "1"                                                |
| "Leeds United"             | spsocstat:fouls-commited             | "21"                                               |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/tie>  |
| "Leeds United"             | spstat:time-of-possession-percentage | "44.2"                                             |
| "Leeds United"             | spsocstat:tackles-total              | "30"                                               |
| "Leeds United"             | spsocstat:corner-kicks               | "2"                                                |
| "Leeds United"             | spsocstat:shots-total                | "6"                                                |
| "Leeds United"             | spsocstat:cautions-total             | "4"                                                |
| "Leeds United"             | spstat:score                         | "0"                                                |
| "Leeds United"             | spsocstat:tackles-lost               | "13"                                               |
| "Leeds United"             | spsocstat:interceptions              | "8"                                                |
| "Leeds United"             | spstat:score-opposing                | "2"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/loss> |
| "Leeds United"             | spstat:score                         | "0"                                                |
| "Leeds United"             | spstat:score-opposing                | "0"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
| "Leeds United"             | spstat:score                         | "5"                                                |
| "Leeds United"             | spstat:score-opposing                | "0"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
| "Leeds United"             | spstat:score                         | "1"                                                |
| "Leeds United"             | spstat:score-opposing                | "1"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
| "Leeds United"             | spstat:score                         | "2"                                                |
| "Leeds United"             | spstat:score-opposing                | "2"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/loss> |
| "Leeds United"             | spstat:score                         | "0"                                                |
| "Leeds United"             | spstat:score-opposing                | "4"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/loss> |
| "Leeds United"             | spstat:score                         | "3"                                                |
| "Leeds United"             | spstat:score-opposing                | "1"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
| "Leeds United"             | spstat:score                         | "2"                                                |
| "Leeds United"             | spstat:score-opposing                | "0"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
| "Leeds United"             | spstat:score                         | "3"                                                |
| "Leeds United"             | spstat:score-opposing                | "0"                                                |
| "Leeds United"             | spstat:event-outcome                 | <http://cv.iptc.org/newscodes/speventoutcome/win>  |
