----------------------------------------------------------------------
| compName                     | teamName                     | rank |
======================================================================
| "2020 Tokyo Summer Olympics" | "People's Republic of China" | 1    |
| "2020 Tokyo Summer Olympics" | "Japan"                      | 2    |
| "2020 Tokyo Summer Olympics" | "Republic of Korea"          | 3    |
| "2020 Tokyo Summer Olympics" | "Ecuador"                    | 4    |
| "2020 Tokyo Summer Olympics" | "Hungary"                    | 4    |
| "2020 Tokyo Summer Olympics" | "Islamic Republic of Iran"   | 4    |
| "2020 Tokyo Summer Olympics" | "Kosovo"                     | 4    |
| "2020 Tokyo Summer Olympics" | "Russia"                     | 8    |
| "2020 Tokyo Summer Olympics" | "Serbia"                     | 8    |
| "2020 Tokyo Summer Olympics" | "Belgium"                    | 10   |
| "2020 Tokyo Summer Olympics" | "India"                      | 10   |
| "2020 Tokyo Summer Olympics" | "Italy"                      | 10   |
| "2020 Tokyo Summer Olympics" | "Netherlands"                | 10   |
| "2020 Tokyo Summer Olympics" | "Romania"                    | 10   |
| "2020 Tokyo Summer Olympics" | "Chinese Taipei"             | 10   |
| "2020 Tokyo Summer Olympics" | "Estonia"                    | 16   |
| "2020 Tokyo Summer Olympics" | "France"                     | 16   |
| "2020 Tokyo Summer Olympics" | "Indonesia"                  | 16   |
| "2020 Tokyo Summer Olympics" | "Israel"                     | 16   |
| "2020 Tokyo Summer Olympics" | "Kazakhstan"                 | 16   |
| "2020 Tokyo Summer Olympics" | "Mexico"                     | 16   |
| "2020 Tokyo Summer Olympics" | "Mongolia"                   | 16   |
| "2020 Tokyo Summer Olympics" | "Slovenia"                   | 16   |
| "2020 Tokyo Summer Olympics" | "Switzerland"                | 16   |
| "2020 Tokyo Summer Olympics" | "Ukraine"                    | 16   |
----------------------------------------------------------------------
