----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| teamName       | playerName              | playerPos                   | dob                                                   | uniformNumber | competition                                     |
====================================================================================================================================================================================================
| "Dallas Stars" | "Ales Hemsky"           | spichposition:right-forward | "1983-08-13"^^<http://www.w3.org/2001/XMLSchema#date> | "83"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Alex Goligoski"        | spichposition:defenseman    | "1985-07-30"^^<http://www.w3.org/2001/XMLSchema#date> | "33"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Antoine Roussel"       | spichposition:left-forward  | "1989-11-21"^^<http://www.w3.org/2001/XMLSchema#date> | "21"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Austin Smith"          | spichposition:right-forward | "1988-11-07"^^<http://www.w3.org/2001/XMLSchema#date> | "9"           | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Branden Troock"        | spichposition:right-forward | "1994-03-20"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Brendan Ranford"       | spichposition:left-forward  | "1992-05-03"^^<http://www.w3.org/2001/XMLSchema#date> | "39"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Brett Pollock"         | spichposition:center        | "1996-03-17"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Brett Ritchie"         | spichposition:right-forward | "1993-07-01"^^<http://www.w3.org/2001/XMLSchema#date> | "20"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Cameron Gaunce"        | spichposition:defenseman    | "1990-03-19"^^<http://www.w3.org/2001/XMLSchema#date> | "36"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Cody Eakin"            | spichposition:center        | "1991-05-24"^^<http://www.w3.org/2001/XMLSchema#date> | "20"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Colton Sceviour"       | spichposition:center        | "1989-04-20"^^<http://www.w3.org/2001/XMLSchema#date> | "22"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Cristopher Nilstorp"   | spichposition:goalie        | "1984-02-16"^^<http://www.w3.org/2001/XMLSchema#date> | "41"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Curtis McKenzie"       | spichposition:left-forward  | "1991-02-22"^^<http://www.w3.org/2001/XMLSchema#date> | "11"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Derek Meech"           | spichposition:defenseman    | "1984-04-21"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Emil Molin"            | spichposition:center        | "1993-02-03"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Esa Lindell"           | spichposition:defenseman    | "1994-05-23"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Francis Wathier"       | spichposition:left-forward  | "1984-12-07"^^<http://www.w3.org/2001/XMLSchema#date> | "38"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Gemel Smith"           | spichposition:center        | "1994-04-16"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Henri Kiviaho"         | spichposition:goalie        | "1994-02-26"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Jack Campbell"         | spichposition:goalie        | "1992-01-09"^^<http://www.w3.org/2001/XMLSchema#date> | "1"           | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Jamie Benn"            | spichposition:left-forward  | "1989-07-18"^^<http://www.w3.org/2001/XMLSchema#date> | "14"          | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Jamie Oleksiak"        | spichposition:defenseman    | "1992-12-21"^^<http://www.w3.org/2001/XMLSchema#date> | "5"           | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Jason Demers"          | spichposition:defenseman    | "1988-06-09"^^<http://www.w3.org/2001/XMLSchema#date> | "4"           | <http://example.com/Competition/l.nhl.com-2015> |
| "Dallas Stars" | "Jason Dickinson"       | spichposition:center        | "1995-07-04"^^<http://www.w3.org/2001/XMLSchema#date> |               | <http://example.com/Competition/l.nhl.com-2015> |
